,Unnamed: 0,Game_ID,Home_ID,Away_ID,Attendance,Points_Home,Points_Away,Fouls_Home,Fouls_Away,Referee_1,Referee_2,Referee_3,Home_Team,Away_Team
154,154,21900156,1610612738,1610612764,19156.0,140,133,26,23,201638,203591,202027,Boston Celtics,Washington Wizards
155,155,21900155,1610612753,1610612755,15113.0,112,97,22,27,202041,202007,203592,Orlando Magic,Philadelphia 76ers
156,156,21900157,1610612745,1610612746,18055.0,102,93,17,21,1204,2529,1146,Houston Rockets,Los Angeles Clippers
157,157,21900160,1610612757,1610612761,19544.0,106,114,16,20,2882,1155,204058,Portland Trail Blazers,Toronto Raptors
158,158,21900154,1610612766,1610612763,13155.0,117,119,12,21,2715,200832,1626301,Charlotte Hornets,Memphis Grizzlies
159,159,21900158,1610612750,1610612759,11581.0,129,114,25,23,1627963,200834,202049,Minnesota Timberwolves,San Antonio Spurs
160,160,21900162,1610612752,1610612742,19812.0,106,103,27,16,1626300,2002,1199,New York Knicks,Dallas Mavericks
161,161,21900165,1610612756,1610612737,15143.0,128,112,24,31,1627541,201640,204059,Phoenix Suns,Atlanta Hawks
162,162,21900161,1610612739,1610612748,17374.0,97,108,16,21,1627963,201639,200833,Cleveland Cavaliers,Miami Heat
163,163,21900163,1610612749,1610612741,17627.0,124,115,22,29,1628172,202049,1151,Milwaukee Bucks,Chicago Bulls
164,164,21900166,1610612743,1610612751,18394.0,101,93,14,14,1627964,2148,1162,Denver Nuggets,Brooklyn Nets
165,165,21900164,1610612740,1610612746,17147.0,132,127,25,22,2003,1628953,200832,New Orleans Pelicans,Los Angeles Clippers
166,166,21900173,1610612744,1610612738,18064.0,100,105,19,24,2714,202037,1193,Golden State Warriors,Boston Celtics
167,167,21900174,1610612747,1610612758,18997.0,99,97,18,22,1627541,1179,2882,Los Angeles Lakers,Sacramento Kings
168,168,21900168,1610612753,1610612759,16296.0,111,109,13,25,201245,2529,1626302,Orlando Magic,San Antonio Spurs
169,169,21900169,1610612745,1610612754,18055.0,111,102,23,25,1174,202007,1201,Houston Rockets,Indiana Pacers
170,170,21900167,1610612766,1610612765,16778.0,109,106,17,19,202901,202027,202041,Charlotte Hornets,Detroit Pistons
171,171,21900171,1610612750,1610612764,12716.0,116,137,20,22,1830,201637,203592,Minnesota Timberwolves,Washington Wizards
172,172,21900170,1610612763,1610612762,16422.0,107,106,23,16,1148,200834,2005,Memphis Grizzlies,Utah Jazz
173,173,21900172,1610612760,1610612755,18203.0,127,119,23,32,1204,202026,1146,Oklahoma City Thunder,Philadelphia 76ers
174,174,21900181,1610612759,1610612757,18534.0,116,121,17,20,1146,200833,1626301,San Antonio Spurs,Portland Trail Blazers
